title,link,price,likes
ASUS Blue Cave AC2600 Dual-Band Wi-Fi Router (+Asus USB AC53 Adapter *RFB*) @Newegg $100,https://slickdeals.net/f/14074697-asus-blue-cave-ac2600-dual-band-wi-fi-router-asus-usb-ac53-adapter-rfb-newegg-100?src=catpagev2,$100 ,1
Surface Pro-7 128GB $799 Best Buy,https://slickdeals.net/f/14072927-surface-pro-7-128gb-799-best-buy?src=catpagev2,$799.99 ,10
"McAfee Antiirus, 10 users, 1 yr, $20, Costco",https://slickdeals.net/f/14073851-mcafee-antiirus-10-users-1-yr-20-costco?src=catpagev2,N/A,3
"Lenovo Flex 5 14"" 2-in-1 Touchscreen Laptop - 10th Gen Intel Core i5-1035G1 - 1080p, 16GB RAM, 512GB SSD, WiFi 6, USB-C: $700 + tax @ Costco $699.99",https://slickdeals.net/f/14072312-lenovo-flex-5-14-2-in-1-touchscreen-laptop-10th-gen-intel-core-i5-1035g1-1080p-16gb-ram-512gb-ssd-wifi-6-usb-c-700-tax-costco-699-99?src=catpagev2,$699.99 ,10
"Lenovo C340 11"" Celeron Touch 4GB/32GB Chromebook - $259.99 @ Walmart",https://slickdeals.net/f/14080619-lenovo-c340-11-celeron-touch-4gb-32gb-chromebook-259-99-walmart?src=catpagev2,N/A,3
"Lenovo 11.6"" IdeaPad 3 32gb Chromebook - $169 - Walmart",https://slickdeals.net/f/14080598-lenovo-11-6-ideapad-3-32gb-chromebook-169-walmart?src=catpagev2,N/A,2
Roccat Vulcan 121 AIMO RGB Mechanical Keyboard $119.99,https://slickdeals.net/f/14080799-roccat-vulcan-121-aimo-rgb-mechanical-keyboard-119-99?src=catpagev2,$119.99 ,0
Epson EcoTank 3760SE With Two Bonus Black Ink Bottles $279.99,https://slickdeals.net/f/14079374-epson-ecotank-3760se-with-two-bonus-black-ink-bottles-279-99?src=catpagev2,$279.99 ,4
Rosewill 2-4 Port KVM Switches: Starting From $22 AC + FS,https://slickdeals.net/f/14079959-rosewill-2-4-port-kvm-switches-starting-from-22-ac-fs?src=catpagev2,N/A,2
Office Depot and OfficeMax,https://slickdeals.net/coupons/office-depot/,$430 ,96
"ASUS RT-AX3000 Dual Band WiFi Router, WiFi 6, 802.11ax, AiMesh $159.99",https://slickdeals.net/f/14100503-asus-rt-ax3000-dual-band-wifi-router-wifi-6-802-11ax-aimesh-159-99?src=catpagev2,$159.99 ,8
"15.6"" Acer PM161Q bu FHD 60Hz 15ms Portable IPS Monitor",https://slickdeals.net/f/14099546-acer-15-6-1080p-ips-portable-monitor-fhd-129-free-shipping?src=catpagev2,$130 ,40
AMD Ryzen 5 1600 AF 6-Core 12-Thread Unlocked 65W Desktop Processor with Wraith Stealth Cooler (YD1600BBAFBOX) $104.99,https://slickdeals.net/f/14101733-amd-ryzen-5-1600-af-6-core-12-thread-unlocked-65w-desktop-processor-with-wraith-stealth-cooler-yd1600bbafbox-104-99?src=catpagev2,$104.99 ,0
OtterBox Defender Series Case for iPad 10.2 $44.99,https://slickdeals.net/f/14101703-otterbox-defender-series-case-for-ipad-10-2-44-99?src=catpagev2,$44.99 ,0
"Acer 32"" Class WQHD IPS FreeSync Monitor for $229.99 + Shipping is free",https://slickdeals.net/f/14101691-acer-32-class-wqhd-ips-freesync-monitor-for-229-99-shipping-is-free?src=catpagev2,$229.99 ,1
Logitech G903 Hero Wireless Optical Gaming Mouse $109.99 Best Buy and Amazon,https://slickdeals.net/f/14093840-logitech-g903-hero-wireless-optical-gaming-mouse-109-99-best-buy-and-amazon?src=catpagev2,$109.99 ,5
"ESR Hardshell Case (Top Cover + Bottom Cover) + Keyboard Skin for MacBook Air 13''/ Pro 13''/ Pro 15'', from $8.95 + FS w/PRIME",https://slickdeals.net/f/14093867-esr-hardshell-case-top-cover-bottom-cover-keyboard-skin-for-macbook-air-13-pro-13-pro-15-from-8-95-fs-w-prime?src=catpagev2,N/A,4
GIGABYTE Z490 UD AC LGA 1200 Intel Motherboard @Newegg $165,https://slickdeals.net/f/14094335-gigabyte-z490-ud-ac-lga-1200-intel-motherboard-newegg-165?src=catpagev2,$165 ,0
Costco Wholesale,https://slickdeals.net/coupons/costco-wholesale/,$549.99 ,9
Logitech C270 HD 720p USB 2.0 Wired Webcam,https://slickdeals.net/f/14092436-logitech-c270-hd-720p-usb-2-0-wired-webcam-28-free-shipping?src=catpagev2,$28 ,97
TP-Link Archer AX11000 Tri-Band Wi-Fi 6 Router $299 after $100 off at costco,https://slickdeals.net/f/14092613-tp-link-archer-ax11000-tri-band-wi-fi-6-router-299-after-100-off-at-costco?src=catpagev2,$299.99 ,46
Razer - Huntsman Wired Gaming Opto-Mechanical Switch Keyboard with Chroma Back Lighting - Black $115.99,https://slickdeals.net/f/14074268-razer-huntsman-wired-gaming-opto-mechanical-switch-keyboard-with-chroma-back-lighting-black-115-99?src=catpagev2,$115.99 ,0
Frys,https://slickdeals.net/coupons/frys/,N/A,0
Patriot Viper 3 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3 1866 (PC3 15000) Desktop Memory $62 + FS,https://slickdeals.net/f/14071961-patriot-viper-3-16gb-2-x-8gb-240-pin-ddr3-sdram-ddr3-1866-pc3-15000-desktop-memory-62-fs?src=catpagev2,N/A,5
"All new Dell G5 15 SE: 15.6'' FHD VA, Ryzen 5 4600H, RX 5600M, 256GB PCIe SSD, Win10H from $862.39 + F/S",https://slickdeals.net/f/14070452-all-new-dell-g5-15-se-15-6-fhd-va-ryzen-5-4600h-rx-5600m-256gb-pcie-ssd-win10h-from-862-39-f-s?src=catpagev2,$862.39 ,59
"CORSAIR - Dual SATA Drive Enclosure for 2.5"" SSD  + $25 Shutterfly GC $4.99 + Free Pickup @ Best Buy",https://slickdeals.net/f/14080097-corsair-dual-sata-drive-enclosure-for-2-5-ssd-25-shutterfly-gc-4-99-free-pickup-best-buy?src=catpagev2,$4.99 ,1
"Norton 360 - 5 Devices $25, 10 Devices $30 at Amazon or NewEgg (download or CD), $22.49 at Frys",https://slickdeals.net/f/14077397-norton-360-5-devices-25-10-devices-30-at-amazon-or-newegg-download-or-cd-22-49-at-frys?src=catpagev2,$24.99 ,44
Spitfire Spring Sale — 40% to 60% Off Everything,https://slickdeals.net/f/14078891-spitfire-spring-sale-40-to-60-off-everything?src=catpagev2,N/A,2
1TB AData XPG SX8100 NVMe SSD + $5GC @Newegg $120,https://slickdeals.net/f/14078576-1tb-adata-xpg-sx8100-nvme-ssd-5gc-newegg-120?src=catpagev2,$120 ,2
RX 5500 XT 8GB (Mail in Rebate) $169.99,https://slickdeals.net/f/14101115-rx-5500-xt-8gb-mail-in-rebate-169-99?src=catpagev2,$169.99 ,3
"Dell Vostro 14 5490- Core i7, 16 GB Ram, 256 SSD, 14 inch FHD, GeForce MX250 with 2 GB memory, Windows Pro $764.1",https://slickdeals.net/f/14101562-dell-vostro-14-5490-core-i7-16-gb-ram-256-ssd-14-inch-fhd-geforce-mx250-with-2-gb-memory-windows-pro-764-1?src=catpagev2,$764.10 ,1
"Dell Inspiron 5000 2 in 1- Core i7, 16 GB ram, 512 SSD, 15.6 FHD, UHD graphics- 836.99",https://slickdeals.net/f/14101553-dell-inspiron-5000-2-in-1-core-i7-16-gb-ram-512-ssd-15-6-fhd-uhd-graphics-836-99?src=catpagev2,$836.99 ,1
Rosewill - Dual Band Wireless 11AC PCI Express Wi-Fi Adapter for $39.00 + FS,https://slickdeals.net/f/14100776-rosewill-dual-band-wireless-11ac-pci-express-wi-fi-adapter-for-39-00-fs?src=catpagev2,$38.99 ,3
Micro Center,https://slickdeals.net/coupons/micro-center/,$319.99 ,1
"MacHeist bundle of 11 Mac apps featuring Parallels for $59.99 ($1,127 value)",https://slickdeals.net/f/14100041-macheist-bundle-of-11-mac-apps-featuring-parallels-for-59-99-1-127-value?src=catpagev2,N/A,7
CORSAIR K55 RGB Gaming Keyboard and Harpoon RGB Gaming Mouse Combo. $65 @ Costco,https://slickdeals.net/f/14100506-corsair-k55-rgb-gaming-keyboard-and-harpoon-rgb-gaming-mouse-combo-65-costco?src=catpagev2,$65 ,3
